,objectid,sheet_code,cd_no,sheet_name,sheet_namt,edition,year,map250k,hotmap50k,hotmap250k,sheet_id,sheet_no,shape_length,shape_area,extent,geometry,zone,url
205,206,4843-I,5,Ban Huai Rin,บ้านห้วยริน,1-RTSD,2512,NE47-11,4843i.img,NE47-11.img,207,48431,108419.614267219,734372388.061006,"99.24681944503074,17.251367048984942,99.4967920385864,17.501350398405275",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48431&bbox=99.24681944503074,17.251367048984942,99.4967920385864,17.501350398405275"
206,207,4943-IV,5,Amphoe Thung Saliam,อําเภอทุ่งเสลี่ยม,1-RTSD,2512,NE47-11,4943iv.img,NE47-11.img,208,49434,108423.397239391,734423636.209056,"99.49678768265642,17.2513710179515,99.74676038066298,17.501354462395796",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49434&bbox=99.49678768265642,17.2513710179515,99.74676038066298,17.501354462395796"
207,208,4943-I,5,Amphoe Sawankhalok,อําเภอสวรรคโลก,1-RTSD,2512,NE47-11,4943i.img,NE47-11.img,209,49431,108429.07176158,734500512.577916,"99.74675598269226,17.25137502539764,99.99672878510343,17.501358566235535",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49431&bbox=99.74675598269226,17.25137502539764,99.99672878510343,17.501358566235535"
208,209,5043-IV,5,Amphoe Phichai,อําเภอพิชัย,1-RTSD,2512,NE47-11,5043iv.img,NE47-11.img,210,50434,108436.638567612,734603031.196743,"99.99672434324188,17.251379073031682,100.2466972511411,17.50136271019177",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50434&bbox=99.99672434324188,17.251379073031682,100.2466972511411,17.50136271019177"
209,210,5043-I,5,Ban San Khan,บ้านแสนขัน,1-RTSD,2512,NE47-11,5043i.img,NE47-11.img,211,50431,108446.098436492,734731207.989805,"100.24669276638416,17.251383159288377,100.4966657798369,17.501366893694303",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50431&bbox=100.24669276638416,17.251383159288377,100.4966657798369,17.501366893694303"
210,211,5143-IV,5,Ban Mae Lao,บ้านแม่เหล่า,3-DMATC,2531,NE47-12,5143iv.img,NE47-12.img,212,51434,108457.451796526,734885055.472322,"100.49666125321116,17.251387284717843,100.74663437288443,17.501371117135545",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51434&bbox=100.49666125321116,17.251387284717843,100.74663437288443,17.501371117135545"
211,212,5143-I,5,Ban Nam Kum,บ้านน้ำกุ่ม,3-RTSD,2531,NE47-12,5143i.img,NE47-12.img,213,51431,108470.699714954,735064596.175736,"100.746629802653,17.25139145015246,100.99660302951084,17.501375379992922",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51431&bbox=100.746629802653,17.25139145015246,100.99660302951084,17.501375379992922"
212,213,5243-IV,5,Amphoe Dan Sai,อําเภอด่านซ้าย,3-RTSD,2510,NE47-12,5243iv.img,NE47-12.img,214,52434,108485.843208402,735269853.261497,"100.99659841686905,17.25139565399372,101.24657175096542,17.501379681744268",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52434&bbox=100.99659841686905,17.25139565399372,101.24657175096542,17.501379681744268"
213,214,5243-I,5,King Amphoe Phu Rua,กิ่งอําเภอภูเรือ,2-RTSD,2512,NE47-12,5243i.img,NE47-12.img,215,52431,108502.883639993,735500855.978069,"101.24656709535714,17.251399896660885,101.49654053742447,17.501384023594465",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52431&bbox=101.24656709535714,17.251399896660885,101.49654053742447,17.501384023594465"
214,215,5343-IV,5,Changwat Loei,จังหวัดเลย,3-RTSD,2518,NE47-12,5343iv.img,NE47-12.img,216,53434,108521.822312503,735757634.139202,"101.49653583943986,17.251404177865922,101.74650938964149,17.501388403931802",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53434&bbox=101.49653583943986,17.251404177865922,101.74650938964149,17.501388403931802"
215,216,5343-I,5,Amphoe Wang Sapung,อําเภอวังสะพุง,4-RTSD,2529,NE47-12,5343i.img,NE47-12.img,217,53431,108542.660683006,736040220.929969,"101.74650465007893,17.25140849835873,101.99647830865814,17.501392824618534",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53431&bbox=101.74650465007893,17.25140849835873,101.99647830865814,17.501392824618534"
216,217,5443-IV,5,Amphoe Na Klang,อําเภอนากลาง,3-RTSD,2526,NE48-9,5443iv.img,NE48-9.img,218,54434,108565.400845609,736348659.66161,"101.99647352677258,17.25141285716746,102.24644729558713,17.501397283647524",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54434&bbox=101.99647352677258,17.25141285716746,102.24644729558713,17.501397283647524"
217,218,5443-I,5,Ban Thung Prong,บ้านทุ่งโปร่ง,3-RTSD,2527,NE48-9,5443i.img,NE48-9.img,219,54431,108590.043851509,736682980.726338,"102.24644247190817,17.251417254253614,102.49641635042684,17.501401781502178",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54431&bbox=102.24644247190817,17.251417254253614,102.49641635042684,17.501401781502178"
218,219,5543-IV,5,Ban Nong Wua So,บ้านหนองวัวซอ,1-RTSD,2512,NE48-9,5543iv.img,NE48-9.img,220,55434,108616.592285835,737043236.909157,"102.4964114840246,17.251421690469762,102.74638547363827,17.501406318249632",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55434&bbox=102.4964114840246,17.251421690469762,102.74638547363827,17.501406318249632"
219,220,5543-I,5,Changwat Udon Thani,จังหวัดอุดรธานี,3-RTSD,2527,NE48-9,5543i.img,NE48-9.img,221,55431,108645.048190628,737429474.78717,"102.74638056599075,17.251426164762034,102.99635466689433,17.501410894499084",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55431&bbox=102.74638056599075,17.251426164762034,102.99635466689433,17.501410894499084"
220,221,5643-IV,6,Amphoe Nong Han,อําเภอหนองหาน,2-RTSD,2529,NE48-9,5643iv.img,NE48-9.img,222,56434,108675.414045933,737841748.449307,"102.99634971725123,17.25143067769008,103.24632393089695,17.501415509405945",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56434&bbox=102.99634971725123,17.25143067769008,103.24632393089695,17.501415509405945"
221,222,5643-I,6,Amphoe Sawang Daen Din,อําเภอสว่างแดนดิน,3-RTSD,2528,NE48-9,5643i.img,NE48-9.img,223,56431,108707.69208434,738280109.939249,"103.24631894012049,17.251435228680354,103.49629326703554,17.501420162486287",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56431&bbox=103.24631894012049,17.251435228680354,103.49629326703554,17.501420162486287"
222,223,5743-IV,6,Amphoe Waritchaphum,อําเภอวาริชภูมิ,2-RTSD,2526,NE48-10,5743iv.img,NE48-10.img,224,57434,108741.884887289,738744617.476921,"103.49628823486852,17.25143981771591,103.74626267617427,17.50142485347845",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A57434&bbox=103.49628823486852,17.25143981771591,103.74626267617427,17.50142485347845"
223,224,5743-I,6,Amphoe Phanna Nikhom,อําเภอพรรณานิคม,2-RTSD,2526,NE48-10,5743i.img,NE48-10.img,225,57431,108777.995785808,739235340.92221,"103.74625760229364,17.25144444436968,103.99623216029316,17.501429584004132",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A57431&bbox=103.74625760229364,17.25144444436968,103.99623216029316,17.501429584004132"
224,225,5843-IV,6,Ban Chiang Kua,บ้านเชียงเครือ,4-RTSD,2527,NE48-10,5843iv.img,NE48-10.img,226,58434,108816.026943068,739752335.514856,"103.99622704539942,17.251449108573954,104.24620171942209,17.501434351305523",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A58434&bbox=103.99622704539942,17.251449108573954,104.24620171942209,17.501434351305523"
225,226,5843-I,6,Amphoe Kusuman,อําเภอกุสุมาลย์,3-RTSD,2528,NE48-10,5843i.img,NE48-10.img,227,58431,108855.982388627,740295683.705741,"104.24619656334387,17.25145381059269,104.4961713569547,17.50143915691529",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A58431&bbox=104.24619656334387,17.25145381059269,104.4961713569547,17.50143915691529"
226,227,5943-IV,6,Ban Ram Rach,บ้านรามราช,3-RTSD,2510,NE48-10,5943iv.img,NE48-10.img,228,59434,108897.864595627,740865447.724221,"104.49616616081308,17.25145854898079,104.74614107389688,17.50144399961353",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A59434&bbox=104.49616616081308,17.25145854898079,104.74614107389688,17.50144399961353"
227,228,5943-I,6,Chagwat Nakhrn Phanom,จังหวัดนครพนม,2-RTSD,2528,NE48-10,5943i.img,NE48-10.img,229,59431,108941.677684103,741461714.113046,"104.74613583725204,17.251463325120046,104.99611087313535,17.501448880437653",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A59431&bbox=104.74613583725204,17.251463325120046,104.99611087313535,17.501448880437653"
228,229,4643-II,5,Ban Mae La,บ้านแม่หละ,2-RTSD,2519,NE47-10,4643ii.img,NE47-10.img,230,46432,108493.632433679,735395589.952533,"98.24695123084861,17.001372383991143,98.49692338722615,17.251355380975674",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46432&bbox=98.24695123084861,17.001372383991143,98.49692338722615,17.251355380975674"
229,230,4743-III,5,Ban Mae Ramat Noi,บ้านแม่ระมาดน้อย,2-RTSD,2522,NE47-10,4743iii.img,NE47-10.img,231,47433,108489.836833096,735344136.037247,"98.49691927388366,17.001376140486006,98.74689153167876,17.251359230426246",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47433&bbox=98.49691927388366,17.001376140486006,98.74689153167876,17.251359230426246"
230,231,4743-II,5,Khuan Phumibhol,เขื่อนภูมิพล,2-RTSD,2522,NE47-10,4743ii.img,NE47-10.img,232,47432,108487.938804429,735318406.643803,"98.74688737586106,17.001379936453574,98.99685973515868,17.251363119846033",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47432&bbox=98.74688737586106,17.001379936453574,98.99685973515868,17.251363119846033"
231,232,4843-III,5,Amphoe Ban Tak,อําเภอบ้านตาก,1-RTSD,2512,NE47-11,4843iii.img,NE47-11.img,233,48433,108487.938904302,735318408.02568,"98.99685553633456,17.001383771812026,99.2468279987458,17.251367048984942",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48433&bbox=98.99685553633456,17.001383771812026,99.2468279987458,17.251367048984942"
232,233,4843-II,5,Ban Pong Daeng,บ้านโป่งแดง,1-RTSD,2512,NE47-11,4843ii.img,NE47-11.img,234,48432,108489.836432712,735344130.50116,"99.2468237579345,17.00138764528126,99.4967963216399,17.2513710179515",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48432&bbox=99.2468237579345,17.00138764528126,99.4967963216399,17.2513710179515"
233,234,4943-III,5,Ban Dan Lan Hoi,บ้านด่านลานหอย,1-RTSD,2512,NE47-11,4943iii.img,NE47-11.img,235,49433,108493.632133423,735395585.799896,"99.4967920385864,17.00139155800178,99.74676470654329,17.25137502539764",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49433&bbox=99.4967920385864,17.00139155800178,99.74676470654329,17.25137502539764"
234,235,4943-II,5,Changwat Sukhothai,จังหวัสุโขทัย,1-RTSD,2512,NE47-11,4943ii.img,NE47-11.img,236,49432,108499.325894745,735472774.949601,"99.74676038066298,17.0013955099079,99.99673315282514,17.251379073031682",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49432&bbox=99.74676038066298,17.0013955099079,99.99673315282514,17.251379073031682"
235,236,5043-III,5,Amphoe Phrom Phiram,อําเภอพรหมพิราม,1-RTSD,2512,NE47-11,5043iii.img,NE47-11.img,237,50433,108506.91824661,735575709.132136,"99.99672878510343,17.00139950063579,100.24670166096091,17.251383159288377",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50433&bbox=99.99672878510343,17.00139950063579,100.24670166096091,17.251383159288377"
236,237,5043-II,5,Ban Suan Pan,บ้านสวนป่าน,1-RTSD,2512,NE47-11,5043ii.img,NE47-11.img,238,50432,108516.409967476,735704404.417012,"100.2466972511411,17.001403529503484,100.49667023228798,17.251387284717843",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50432&bbox=100.2466972511411,17.001403529503484,100.49667023228798,17.251387284717843"
237,238,5143-III,5,Ban Suan Miang,บ้านสวนเมี่ยง,2-RTSD,2531,NE47-12,5143iii.img,NE47-12.img,239,51433,108527.801875896,735858878.61399,"100.4966657798369,17.00140759729496,100.74663886685533,17.25139145015246",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51433&bbox=100.4966657798369,17.00140759729496,100.74663886685533,17.25139145015246"
238,239,5143-II,5,Amphoe Nakhon Thai,อําเภอนครไทย,2-RTSD,2531,NE47-12,5143ii.img,NE47-12.img,240,51432,108541.094633457,736039148.756143,"100.74663437288443,17.001411703537876,100.9966075650565,17.25139565399372",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51432&bbox=100.74663437288443,17.001411703537876,100.9966075650565,17.25139565399372"
239,240,5243-III,5,Ban Dan Du,บ้านด่านดู่,4-RTSD,2531,NE47-12,5243iii.img,NE47-12.img,241,52433,108556.289451863,736245240.889944,"100.99660302951084,17.00141584827387,101.2465763283147,17.251399896660885",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52433&bbox=100.99660302951084,17.00141584827387,101.2465763283147,17.251399896660885"
240,241,5243-II,5,Ban Sila,บ้านศิลา,4-RTSD,2531,NE47-12,5243ii.img,NE47-12.img,242,52432,108573.387379384,736477179.940757,"101.24657175096542,17.00142003201392,101.49654515597682,17.251404177865922",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52432&bbox=101.24657175096542,17.00142003201392,101.49654515597682,17.251404177865922"
241,242,5343-III,5,Ban Sai Khao,บ้านทรายขาว,3-RTSD,2512,NE47-12,5343iii.img,NE47-12.img,243,53433,108592.390320153,736735004.029183,"101.49654053742447,17.00142425302029,101.74651405075217,17.25140849835873",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53433&bbox=101.49654053742447,17.00142425302029,101.74651405075217,17.25140849835873"
242,243,5343-II,5,Ban Nong Hin,บ้านหนองหิน,3-RTSD,2510,NE47-12,5343ii.img,NE47-12.img,244,53432,108613.299210428,737018739.357646,"101.74650938964149,17.00142851262079,101.9964830108949,17.25141285716746",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A53432&bbox=101.74650938964149,17.00142851262079,101.9964830108949,17.25141285716746"
243,244,5443-III,5,Ban Haui Yang,บ้านห้วยยาง,3-RTSD,2512,NE48-9,5443iii.img,NE48-9.img,245,54433,108636.116235632,737328430.668011,"101.99647830865814,17.00143281073544,102.24645203933667,17.251417254253614",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54433&bbox=101.99647830865814,17.00143281073544,102.24645203933667,17.251417254253614"
244,245,5443-II,5,Amphoe Nong Bua Lamphu,อําเภอหนองบัวลําภู,1-RTSD,2512,NE48-9,5443ii.img,NE48-9.img,246,54432,108660.842930177,737664114.908464,"102.24644729558713,17.001437146606182,102.49642113499587,17.251421690469762",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A54432&bbox=102.24644729558713,17.001437146606182,102.49642113499587,17.251421690469762"
245,246,5543-III,5,Ban Kut Mak Phai,บ้านกุดหมากไฟ,1-RTSD,2512,NE48-9,5543iii.img,NE48-9.img,247,55433,108687.481572618,738025840.863691,"102.49641635042684,17.001441519759126,102.74639030006128,17.251426164762034",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55433&bbox=102.49641635042684,17.001441519759126,102.74639030006128,17.251426164762034"
246,247,5543-II,5,Ban Koke Phak Warn,บ้านโคกผักหวาน,3-RTSD,2528,NE48-9,5543ii.img,NE48-9.img,248,55432,108716.034082476,738413653.68334,"102.74638547363827,17.00144593163288,102.99635953402286,17.25143067769008",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A55432&bbox=102.74638547363827,17.00144593163288,102.99635953402286,17.25143067769008"
247,248,5643-III,6,Amphoe Khumphawapi,อําเภอกุมภวาปี,2-RTSD,2529,NE48-9,5643iii.img,NE48-9.img,249,56433,108746.503125907,738827610.086766,"102.99635466689433,17.001450381090407,103.2463288391012,17.251435228680354",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56433&bbox=102.99635466689433,17.001450381090407,103.2463288391012,17.251435228680354"
248,249,5643-II,6,Ban Khao Kho,บ้านคําค้อ,3-RTSD,2529,NE48-9,5643ii.img,NE48-9.img,250,56432,108778.891022484,739267763.501751,"103.24632393089695,17.001454867855262,103.4962982162432,17.25143981771591",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A56432&bbox=103.24632393089695,17.001454867855262,103.4962982162432,17.25143981771591"
249,250,5743-III,6,King Amphoe Nikom Nam Un,กิ่งอําเภอน้ำอุน,2-RTSD,2526,NE48-10,5743iii.img,NE48-10.img,251,57433,108813.20022677,739734170.579299,"103.49629326703554,17.001459392499108,103.74626766575958,17.25144444436968",,48,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL48&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A57433&bbox=103.49629326703554,17.001459392499108,103.74626766575958,17.25144444436968"
